30/03/2018 08:15:16 a.m.||INFO|------------------------------------------------------------------------------------------------------------------------------------------------------
30/03/2018 08:15:16 a.m.||INFO|***    CONTROL MERMAS    ***
30/03/2018 08:15:16 a.m.||INFO|Puerto:ARROYO
30/03/2018 08:15:16 a.m.||INFO|Fecha :2018-03-29
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000343 | 000567867939 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000352 | 000568250947 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000353 | 000567912019 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000360 | 000567292062 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000364 | 000568413087 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000375 | 000568314422 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000376 | 000568421042 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000383 | 000568300716 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000385 | 000568171353 |       15 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0038-GLUTEN          |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 5000-PROTEINAS       |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000395 | 000567794329 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000398 | 000568246635 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000402 | 000568171354 |       15 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0038-GLUTEN          |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 5000-PROTEINAS       |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000405 | 000568302328 |       19 |      718 |            718 |           2.33% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |    2.33% |     2.33% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0026-DAÑADO          |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000414 | 000568434793 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000420 | 000568356689 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000438 | 000567728837 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000441 | 000568434126 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000461 | 000568302332 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|29/03/2018 | 0000000465 | 000568338726 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:21 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:22 a.m.||INFO|29/03/2018 | 0000000466 | 000568141284 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:22 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:22 a.m.||INFO|           |            |              |          |          |                |                 | 0025-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:22 a.m.||INFO|29/03/2018 | 0000000471 | 000567842761 |       19 |        0 |              0 |              0% | 0001-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:22 a.m.||INFO|           |            |              |          |          |                |                 | 0021-PORC. HUMEDAD   |       0% |        0% | OK!
