30/03/2018 08:15:16 a.m.||INFO|------------------------------------------------------------------------------------------------------------------------------------------------------
30/03/2018 08:15:16 a.m.||INFO|***    CONTROL MERMAS    ***
30/03/2018 08:15:16 a.m.||INFO|Puerto:PIEDRABUENA
30/03/2018 08:15:16 a.m.||INFO|Fecha :2018-03-29
30/03/2018 08:15:16 a.m.||INFO|Transporte: CAMIONES        
30/03/2018 08:15:16 a.m.||INFO|------------------------------------------------------------------------------------------------------------------------------------------------------
30/03/2018 08:15:17 a.m.||INFO|DTCONTABLE | IDCAMION   | CTAPORTE     | PRODUCTO | MERMA KG | MERMA KG CALC. | VISTEO CABECERA | VISTEO DETALLE                              | SOLUCION
30/03/2018 08:15:17 a.m.||INFO|           |            |              |          |          |                |                 | RUBRO                | EN TABLA | CALCULADO |
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000163 | 000568317354 |       23 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000164 | 000568437921 |       17 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 5000-PROTEINA        |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000179 | 000568359548 |       24 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000196 | 000568304936 |       24 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000212 | 000568214591 |       24 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000217 | 000568365651 |       17 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 5000-PROTEINA        |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|29/03/2018 | 0000000225 | 000568390148 |       24 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:19 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000233 | 000568304935 |       24 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000258 | 000568061738 |       24 |        0 |              0 |              0% | 1510-MATERIA EXTRAÑA |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 1654-GR.DAÑADOS QUEB |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000278 | 000568214595 |       24 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3010-TEMPERATURA     |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|           |            |              |          |          |                |                 | 3020-PORC. HUMEDAD   |       0% |        0% | OK!
30/03/2018 08:15:20 a.m.||INFO|29/03/2018 | 0000000300 | 000568214597 |       24 |        0 |              0 |              0% | 1711-PESO HECTOLITRI |       0% |        0% | OK!
